drgv22,drg_title,mdc,mdc_name,drg_type,relative_weights,geometric_mean_los
93,INTERSTITIAL LUNG DISEASE W/O CC,04,Respiratory System,MED,0.7123,3.2
94,PNEUMOTHORAX W CC,04,Respiratory System,MED,1.1476,4.6
95,PNEUMOTHORAX W/O CC,04,Respiratory System,MED,0.6013,3.0
96,BRONCHITIS & ASTHMA AGE >17 W CC,04,Respiratory System,MED,0.7439,3.6
97,BRONCHITIS & ASTHMA AGE >17 W/O CC,04,Respiratory System,MED,0.5428,2.8
98,BRONCHITIS & ASTHMA AGE 0-17,04,Respiratory System,MED,0.5534,2.7
99,RESPIRATORY SIGNS & SYMPTOMS W CC,04,Respiratory System,MED,0.7178,2.4
100,RESPIRATORY SIGNS & SYMPTOMS W/O CC,04,Respiratory System,MED,0.5445,1.8
101,OTHER RESPIRATORY SYSTEM DIAGNOSES W CC,04,Respiratory System,MED,0.8711,3.3
102,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O CC,04,Respiratory System,MED,0.5473,2.0
103,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,PRE,Pre-MDC (Transplants & Critical Care),SURG,19.5514,25.7
104,CARDIAC VALVE & OTH MAJOR CARDIOTHORACIC PROC W CARD CATH,05,Circulatory System (Heart),SURG,7.918,12.4
105,CARDIAC VALVE & OTH MAJOR CARDIOTHORACIC PROC W/O CARD CATH,05,Circulatory System (Heart),SURG,5.7937,8.3
106,CORONARY BYPASS W PTCA,05,Circulatory System (Heart),SURG,7.3062,9.6
107,CORONARY BYPASS W CARDIAC CATH,05,Circulatory System (Heart),SURG,5.3757,9.3
108,OTHER CARDIOTHORACIC PROCEDURES,05,Circulatory System (Heart),SURG,5.1702,6.9
109,CORONARY BYPASS W/O PTCA OR CARDIAC CATH,05,Circulatory System (Heart),SURG,3.945,6.8
110,MAJOR CARDIOVASCULAR PROCEDURES W CC,05,Circulatory System (Heart),SURG,3.9587,6.1
111,MAJOR CARDIOVASCULAR PROCEDURES W/O CC,05,Circulatory System (Heart),SURG,2.4488,2.8
113,AMPUTATION FOR CIRC SYSTEM DISORDERS EXCEPT UPPER LIMB & TOE,05,Circulatory System (Heart),SURG,3.1063,10.7
114,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS,05,Circulatory System (Heart),SURG,1.6955,6.3
115,PRM CARD PACEM IMPL W AMI/HR/SHOCK OR AICD LEAD OR GNRTR,05,Circulatory System (Heart),SURG,3.5928,4.6
116,OTHER PERMANENT CARDIAC PACEMAKER IMPLANT,05,Circulatory System (Heart),SURG,2.3561,3.0
117,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT,05,Circulatory System (Heart),SURG,1.3529,2.6
118,CARDIAC PACEMAKER DEVICE REPLACEMENT,05,Circulatory System (Heart),SURG,1.6751,2.0
119,VEIN LIGATION & STRIPPING,05,Circulatory System (Heart),SURG,1.4322,3.2
120,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,05,Circulatory System (Heart),SURG,2.3051,5.6
121,"CIRCULATORY DISORDERS W AMI & MAJOR COMP, DISCHARGED ALIVE",05,Circulatory System (Heart),MED,1.62,5.3
122,"CIRCULATORY DISORDERS W AMI W/O MAJOR COMP, DISCHARGED ALIVE",05,Circulatory System (Heart),MED,1.0127,2.9
123,"CIRCULATORY DISORDERS W AMI, EXPIRED",05,Circulatory System (Heart),MED,1.5421,2.9
124,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH & COMPLEX DIAG",05,Circulatory System (Heart),MED,1.4564,3.3
125,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O COMPLEX DIAG",05,Circulatory System (Heart),MED,1.1146,2.2
126,ACUTE & SUBACUTE ENDOCARDITIS,05,Circulatory System (Heart),MED,2.6051,9.0
127,HEART FAILURE & SHOCK,05,Circulatory System (Heart),MED,1.039,4.1
128,DEEP VEIN THROMBOPHLEBITIS,05,Circulatory System (Heart),MED,0.7475,4.6
129,"CARDIAC ARREST, UNEXPLAINED",05,Circulatory System (Heart),MED,1.0346,1.7
130,PERIPHERAL VASCULAR DISORDERS W CC,05,Circulatory System (Heart),MED,0.9566,4.5
131,PERIPHERAL VASCULAR DISORDERS W/O CC,05,Circulatory System (Heart),MED,0.5655,3.3
132,ATHEROSCLEROSIS W CC,05,Circulatory System (Heart),MED,0.6428,2.3
133,ATHEROSCLEROSIS W/O CC,05,Circulatory System (Heart),MED,0.5411,1.8
134,HYPERTENSION,05,Circulatory System (Heart),MED,0.6091,2.5
135,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 W CC,05,Circulatory System (Heart),MED,0.9264,3.4
136,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE >17 W/O CC,05,Circulatory System (Heart),MED,0.5902,2.1
137,CARDIAC CONGENITAL & VALVULAR DISORDERS AGE 0-17,05,Circulatory System (Heart),MED,0.8249,3.3
138,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,05,Circulatory System (Heart),MED,0.8413,3.1
139,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC,05,Circulatory System (Heart),MED,0.5234,2.0
140,ANGINA PECTORIS,05,Circulatory System (Heart),MED,0.5275,2.0
